ID;Tem Grupo Mapeado?;Endereço grupo 1;group_id;group_name;Category;Username;Tier;KAM Lead;KAM;tipo_link
103699751;Tem grupo;https://chat.whatsapp.com/EHLmN5WKblNFVnTZitKl9J;120363345362799526@g.us;Fórmula Ideal Fit - [ 06 ];Content | Cross;rogenevinicius;Bronze;Thales Rimoli;Nina Adler;Grupo
105244951;Tem grupo;https://chat.whatsapp.com/D5WQecRktdBIdbQyptI2JE;120363422191248817@g.us;MARCELO CASA ELETRO OFERTAS;Content | C&I + F&H;piresmarcelo;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
105889403;Tem grupo;https://chat.whatsapp.com/BHOBUeVoGwULOXQCisiHHL;120363423705201139@g.us;PERSONAL PROMOS 🏋🏻‍♀⚡ #23;Content | Lifestyle;yasmin;Bronze;Caroline Marion;Renan Oshita;Grupo
126729033;Tem grupo;https://chat.whatsapp.com/JpNQLb3dfVR6MYPDSsE59e;120363047833350976@g.us;Promoção Camaçari ;Content | Cross;promocaocamacari;Bronze;Thales Rimoli;Nina Adler;Grupo
127160608;Tem grupo;https://chat.whatsapp.com/I8hIMypg1Fs1ge4P4PsQZL;120363379285376262@g.us;PLAY na Gráfica ▶️🖨️ 4;Content | Other;lucasviper;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
129633865;Tem grupo;https://chat.whatsapp.com/E4v5VSQ6sU77jfuC68SVr8;120363419584848189@g.us;#46 PROMOÇÕES TODO DIA • @achadosencantoelar 🤎✨;Content | Cross;adriellymonick;Bronze;Thales Rimoli;Nina Adler;Grupo
134814361;Tem grupo;https://whatsapp.com/channel/0029VbBoPpCKwqSav31Qky1U;120363423742375625@newsletter;Melhores Promoções De Livros - Cupons E Ofertas;Content | Cross;melhorespromocoesdelivros;Bronze;Thales Rimoli;Nina Adler;Canal
136041603;Tem grupo;https://chat.whatsapp.com/DzVFj386f2dDqW79K4HWRH;120363421902691138@g.us;#3 Garimpei e achei pra vc! 🛍️;Content | C&I + F&H;bernardodoertzbacher123;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
138094323;Tem grupo;https://chat.whatsapp.com/DytAPlCQPHRHXLLHDw3js5;120363330656589638@g.us;Achadinhos da Ana 08;Content | Lifestyle;anahonorata;Bronze;Caroline Marion;Gabriela Oliveira;Grupo
141495725;Tem grupo;https://chat.whatsapp.com/3GnbahT2kj07ibWPPnar6t;5519997134690-1536855235@g.us;Economizeiro 3;Content | Cross;bertolifabio20230915200717;Bronze;Thales Rimoli;Nina Adler;Grupo
150242200;Tem grupo;https://chat.whatsapp.com/CsPrVPPLzDp3GNrvJXxFoV;120363402016954492@g.us;🦥 Preguiça Ofertas | 51;Content | Cross;preguicaofertas;Gold;Thales Rimoli;Carli Vasconcelos;Grupo
151613737;Tem grupo;https://chat.whatsapp.com/HtJECzzhkosKvFQP7ikHJo;120363378903402879@g.us;PROMOS DO RAFA - Magalu, Amazon, Mercado Livre e Shopee.;Content | Cross;rafaelsalvador;Bronze;Thales Rimoli;Nina Adler;Grupo
151885557;Tem grupo;https://chat.whatsapp.com/EVaIsW6fpGQLxq6JvEhPeI;120363300079054927@g.us;Ofertas Ninjas 24;Content | Cross;luana_poliedro;Bronze;Thales Rimoli;Nina Adler;Grupo
172902052;Tem grupo;https://www.whatsapp.com/channel/0029VbBdHaXDDmFOwpEd5u0f;120363418735996273@newsletter;HUB das Ofertas;Content | TE & HE;ltech;Bronze;Thales Rimoli;Alexandre Garcia;Canal
180066235;Tem grupo;https://chat.whatsapp.com/DC0femVBH6D0wtzKcg5kkX;120363405174119462@g.us;PromoLets - Grupo 30 🛍️🛒;Content | Cross;promolets;Bronze;Thales Rimoli;Nina Adler;Grupo
183440224;Tem grupo;https://chat.whatsapp.com/DZuh869CxDv8cfpiMdwJvx;120363405527121425@g.us;⚫ VICIADOS EM DESCONTOS 58 ⚫;Content | Cross;viciadosemdescontos;Bronze;Thales Rimoli;Nina Adler;Grupo
184149549;Tem grupo;https://chat.whatsapp.com/Cu4GqW4TxMO5P68NhWoQte;553498139991-1539743197@g.us;Madrugão das Ofertas 16;Content | C&I + F&H;madrugaodasofertas;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
185995823;Tem grupo;https://chat.whatsapp.com/FeqLgpkYkswKNiABW6r91T;120363310740735131@g.us;PROMOS DO DIA #4;Content | C&I + F&H;paulinhaboque;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
186339147;Tem grupo;https://chat.whatsapp.com/JV3kAkEMI6m9KgOvI4Tfwg;120363418717715040@g.us;Promoções de Peças e ferramentas de ar condicionado no mercado livre, aliexpress e shoope;Content | C&I + F&H;generalac;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
187270170;Tem grupo;https://chat.whatsapp.com/CgPQPrd0TgnDvJlvObrT40;120363199428135007@g.us;Top Ofertas;Content | Cross;topofertas;Bronze;Thales Rimoli;Nina Adler;Grupo
192318860;Tem grupo;https://chat.whatsapp.com/IqOhCWsphe40HPdp3SyJ98;120363343512191789@g.us;#8 Promos da Lígia ;Content | Cross;promosdaligia;Bronze;Thales Rimoli;Nina Adler;Grupo
193433190;Tem grupo;https://chat.whatsapp.com/CC5pqDTkbMb9Jru18wDtBB;120363403514564265@g.us;CUPONS MERCADO LIVRE & SHOPEE - Kéthy 🚨;Content | Cross;achadinhosdomiguel2;Bronze;Thales Rimoli;Nina Adler;Grupo
195263497;Tem grupo;https://chat.whatsapp.com/ISAIUVowjcwFXMVXXDuXKv;120363200451219547@g.us;Motorhome Artesanal - Construir, Viajar e Viver a Vida!;Content | Other;rotaspelomundo;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
198417628;Tem grupo;https://chat.whatsapp.com/FFH5yeS4TAOEPgx7CiNYif;120363304750414934@g.us;Achados da Gabby #26;Content | Cross;achadosdagabby;Bronze;Thales Rimoli;Nina Adler;Grupo
199596020;Tem grupo;https://chat.whatsapp.com/GHuF501Ikyu1P1cZzAcD9l;5518981703390-1544469531@g.us;PROMOS COM BRUNA 🩷 14;Content | Cross;shareyouroferta;Bronze;Thales Rimoli;Nina Adler;Grupo
205028015;Tem grupo;https://chat.whatsapp.com/Fspc3uykwrOKs5wDwPvsSW;553498946400-1628023390@g.us;Achadinhos Excelentes 8;Content | Cross;achadinhosexcelente;Bronze;Thales Rimoli;Nina Adler;Grupo
211158953;Tem grupo;https://chat.whatsapp.com/GDcfFc0eAMVCXwexm4Cxqu;120363406598224335@g.us;Best Promos BR #15;Content | Cross;bestpromosbr;Bronze;Thales Rimoli;Nina Adler;Grupo
211875855;Tem grupo;https://chat.whatsapp.com/Dnfo8RV1xR67QqXU7Gjs7z;120363190229692119@g.us;Promo do Marcão #1;Content | Cross;Marcos;Bronze;Thales Rimoli;Nina Adler;Grupo
213618896;Tem grupo;https://www.whatsapp.com/channel/0029Vb67Pq2D38CJBD35Bb0f;PREENCHER;PC DO RAFA OFERTAS;Content | Cross;aqle6195875;Bronze;Thales Rimoli;Nina Adler;Canal
214872957;Tem grupo;https://chat.whatsapp.com/I4rxvecT03O4u7c6fDFtfd;120363402397372326@g.us;Links queridinhos - Onde Você Comprou Camila;Content | C&I + F&H;heca195607;Bronze;Lucas Vesterman;Pedro Herrera;Grupo
224168003;Tem grupo;https://chat.whatsapp.com/F6TKjMctLNzCLfjsuH2L6h;120363419045113030@g.us;PROMOS DA DAY GRUPO 50🛍️;Content | Cross;dayanepatriarca;Bronze;Thales Rimoli;Nina Adler;Grupo
232876240;Tem grupo;https://chat.whatsapp.com/G3VAWq1I67MGOB99WSPQsZ;120363403550740822@g.us;#14 Promoções Especialista Utilitário;Content | Cross;especialistautilitar;Bronze;Thales Rimoli;Nina Adler;Grupo
234320014;Tem grupo;https://chat.whatsapp.com/Go8bPK7JPO4BAHLJUMC4NG;120363420966015434@g.us;#5 Promoções Para Homens;Content | Cross;larissasntana;Bronze;Thales Rimoli;Nina Adler;Grupo
238471146;Tem grupo;https://chat.whatsapp.com/KNKw7EZNadrK0rFxvYnO0u;120363205270613720@g.us;aki promoções - 91;Content | Cross;akipromocoes;Bronze;Thales Rimoli;Nina Adler;Grupo
239133648;Tem grupo;https://chat.whatsapp.com/HnC08HiyHfC1PzNrubCETN;120363401904672253@g.us;✨ OFERTAS/DESCONTOS 2 ✨;Content | C&I + F&H;promobugs;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
241322914;Tem grupo;https://chat.whatsapp.com/GnNd6Ywc9H1LT7umESssV2;120363025177482647@g.us;👶🏻 PromoBaby | 28;Content | Cross;promobaby;Bronze;Thales Rimoli;Nina Adler;Grupo
241645688;Tem grupo;https://www.whatsapp.com/channel/0029VaawatuAjPXDmHQKs90V;120363284669443638@newsletter;🏷 DIG OFERTAS 💰;Content | TE & HE;canaldigplay;Bronze;Thales Rimoli;Alexandre Garcia;Canal
245178092;Tem grupo;https://chat.whatsapp.com/EWm3OYgq5zW2FIq2ZcfMEb;120363418984190995@g.us;Ofertas do Luan 👑 #01;Content | Cross;luandoparedaoo;Bronze;Thales Rimoli;Nina Adler;Grupo
255626570;Tem grupo;https://chat.whatsapp.com/DFy5njg0UpoFLynFwrJvI9;120363403259717990@g.us;UPdesconta - 14;Content | Cross;updesconto;Silver;Thales Rimoli;Priscila Marques;Grupo
256041945;Tem grupo;https://chat.whatsapp.com/Ex64pTyvGje40Rgp4SF9I7;120363400715449263@g.us;🔥 InfoBR Promoções ;Content | Cross;infobrpromos;Bronze;Thales Rimoli;Nina Adler;Grupo
257207451;Tem grupo;https://chat.whatsapp.com/EABVRCtu79KFE4r69pPcgl;120363409605904448@g.us;#30 Achados Online VIP B1;Content | Cross;seuachadosonline;Bronze;Thales Rimoli;Nina Adler;Grupo
261766502;Tem grupo;https://chat.whatsapp.com/EXd6dfZbz9YAT9ZF6kWk5b;120363304919833427@g.us;PROMO 101 🧜🏼‍♀️🛍️💘;Content | Lifestyle;sereiapromo;Bronze;Caroline Marion;Renan Oshita;Grupo
261918389;Tem grupo;https://chat.whatsapp.com/CbmwqR7d3nfJzr6lFGUieM;120363346833599296@g.us;Black Ofertas;Content | Cross;blackofertas;Bronze;Thales Rimoli;Nina Adler;Grupo
269337304;Tem grupo;https://chat.whatsapp.com/LL1XyZFwLv86vMMLjJBKpQ;555499666147-1632617653@g.us;Amiga, Compra! 63;Content | Cross;giuliaxisto;Bronze;Thales Rimoli;Nina Adler;Grupo
277875863;Tem grupo;https://chat.whatsapp.com/KyYARrmP91U4zeJVSCsWMr;120363418425133809@g.us;PROMOÇÕES DO DIA #22🏠 •  @homedeamiga;Content | C&I + F&H;boal9312648;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
280333191;Tem grupo;https://chat.whatsapp.com/CN22mi5ELvh5v44Zd2NVdj;120363407572236669@g.us;PROMOÇÕES DO DIA ✨️ #34 - @promochique_;Content | C&I + F&H;milenasacramento35;Bronze;Lucas Vesterman;Pedro Herrera;Grupo
286235056;Tem grupo;https://chat.whatsapp.com/LnB57KFgiEs5pUBlS0bHMS;120363352774962268@g.us;🔥Ofertas - Análise Inteligente;Content | Cross;larissamarchetti;Bronze;Thales Rimoli;Nina Adler;Grupo
288720773;Tem grupo;https://chat.whatsapp.com/HJQvYUWasgx3Pht0vBnjnk;120363156960081455@g.us;MaisBaratoTodoDia & Omundodepromos 5;Content | Cross;omundodepromos;Bronze;Thales Rimoli;Nina Adler;Grupo
297819181;Tem grupo;https://chat.whatsapp.com/Imsz2h3c3pw335M4sHlxR3;120363176519770632@g.us;Promoçõesdajuh;Content | Cross;promocoes_da_juh_;Bronze;Thales Rimoli;Nina Adler;Grupo
308454102;Tem grupo;https://chat.whatsapp.com/D0g8rY47fEP7GruDUabCIv;120363405012556171@g.us;SEPHORA E + ✨🛍️ 10;Content | Lifestyle;Nicoli;Bronze;Caroline Marion;Gabriela Oliveira;Grupo
311285776;Tem grupo;https://chat.whatsapp.com/FOYNbQ7TWQ8FKiKHGIkuir;5519994916888-1562798770@g.us;🛒|BIG OFERTAS VIP|🛒3⃣7⃣;Content | Cross;bigofertasvip;Bronze;Thales Rimoli;Nina Adler;Grupo
337625387;Tem grupo;https://chat.whatsapp.com/ER49hutRTcoItf3IEfYKHx;558293033682-1630619662@g.us;Achadinhos4you 5;Content | Cross;achadinhos4;Bronze;Thales Rimoli;Nina Adler;Grupo
338747893;Tem grupo;https://www.whatsapp.com/channel/0029Vb6W60JFsn0ejCWAdG0y;120363419511205572@newsletter;ACHADOS E PROMOÇÕES | DENI 🛒🤑;Creator;denisson;Creator;Caroline Marion;Ketlyn Gibeli;Canal
341004914;Tem grupo;https://chat.whatsapp.com/BgePWI8jh5H6bnju4DKlGn;120363402374120841@g.us;PROMOS POR FLÁVIA 16;Content | Cross;promosporflavia;Bronze;Thales Rimoli;Nina Adler;Grupo
350081684;Tem grupo;https://chat.whatsapp.com/DA2ad5cNWwDBXWCbaabzCK;120363406593106000@g.us;achadinhos ML 22;Content | C&I + F&H;laisanevesb;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
377046315;Tem grupo;https://chat.whatsapp.com/IdZy2ftZLXK2RCvulPH8YL;120363421722651627@g.us;Nossa Casa Ofertas 🏡#09;Content | C&I + F&H;nossacasaofertas;Silver;Lucas Vesterman;Pedro Herrera;Grupo
389626545;Tem grupo;https://chat.whatsapp.com/FN604YumZfKFQRzJAwWXcU;120363416624629947@g.us;9- Promoções Enxoval de Bebê e Mamãe 🤰🏻👶🏻;Content | Cross;hellenhcristina2;Bronze;Thales Rimoli;Nina Adler;Grupo
408274567;Tem grupo;https://chat.whatsapp.com/Db4BoPO9UqOKZkIx59xKiT;120363400056890494@g.us;PROMO 35 💗;Content | Cross;beautyporlivia;Bronze;Thales Rimoli;Nina Adler;Grupo
420553279;Tem grupo;https://chat.whatsapp.com/Kr80Ou7XFH10qXrY1Ig4UH;120363247657372700@g.us;PROMO DA MARYA 27 🛍️💖🥳;Content | Lifestyle;maryajcs;Bronze;Caroline Marion;Renan Oshita;Grupo
448250295;Tem grupo;https://chat.whatsapp.com/GbdkHTyBqRm9zeMfi4sqfB;120363221021006092@g.us;PROMO DA MILLA 4;Content | Cross;promodamilla;Bronze;Thales Rimoli;Nina Adler;Grupo
470806864;Tem grupo;https://chat.whatsapp.com/ED3SWc4c1ZT2oeACRALSiI;120363221966674705@g.us;Promo de Rica 🛍️ #8;Content | Cross;almaderica;Bronze;Thales Rimoli;Nina Adler;Grupo
472977261;Tem grupo;https://www.whatsapp.com/channel/0029Vb7utobJZg44EknmPF40;120363423131915233@newsletter;Sucumba Promo 🏷️🎮  - Games e Tech;Content | TE & HE;siga3918026;Bronze;Thales Rimoli;Alexandre Garcia;Canal
485945401;Tem grupo;https://www.whatsapp.com/channel/0029VaWVGkQ9sBI7w45PlA0I;120363265032291915@newsletter;PROMOÇÕES DE LIVROS - LBF 📚;Content | Cross;livrosblackfriday;Bronze;Thales Rimoli;Nina Adler;Canal
491946853;Tem grupo;https://chat.whatsapp.com/KQ9OtbZHybcFHclxBfWKNJ;120363403256567455@g.us;🚨🔥 PROMOS DO DIA #10;Content | C&I + F&H;gyyselly.gomez;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
494747629;Tem grupo;https://chat.whatsapp.com/FjCNPuE1a3NDfq8a9myFiu;120363423981490216@g.us;16. Achadinhos da Laila;Content | Cross;laila;Bronze;Thales Rimoli;Nina Adler;Grupo
494870480;Tem grupo;https://www.whatsapp.com/channel/0029VbAUms0FnSzAUxuxs02v;120363420270158464@newsletter;OFERTAS GERAIS - Iago 🛒;Content | Cross;nejo2010997;Bronze;Thales Rimoli;Nina Adler;Canal
512825537;Tem grupo;https://chat.whatsapp.com/JhFn4frwWGC5aVLkBKHUK9;120363170923045249@g.us;Caça Descontos 100;Content | Cross;cacadescontos;Bronze;Thales Rimoli;Nina Adler;Grupo
516957832;Tem grupo;https://chat.whatsapp.com/HYbGYZwto0WLF66w9FCoZd;553185581917-1624221838@g.us;SEJA MAIS ECONÔMICO 18;Content | Cross;sejamaiseconomico;Bronze;Thales Rimoli;Nina Adler;Grupo
526807890;Tem grupo;https://chat.whatsapp.com/FI9ry983RG4GC4NVWBCuaV;120363332734613961@g.us;GRUPO VIP ACHADINHOS #1;Content | Cross;achadinhosdaline;Bronze;Thales Rimoli;Nina Adler;Grupo
527607504;Tem grupo;https://www.whatsapp.com/channel/0029ValCIl1J3jv1mQhrn03U;120363320899835012@newsletter;🥇ACHADOS FORA DA CURVA🥇;Content | C&I + F&H;foradacurca;Bronze;Lucas Vesterman;Pedro Herrera;Canal
529542790;Tem grupo;https://chat.whatsapp.com/Ix2dQHmytlDAo0xn1N3JTt;120363359399094990@g.us;Promos da Thau #6;Content | C&I + F&H;Thaune Vasconcellos;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
538152142;Tem grupo;https://whatsapp.com/channel/0029Vb49XPAG3R3mQ6iGcR31;120363410514024112@newsletter;Diquinhas girl 🎀 (cupons, promoções, achadinhos);Content | Cross;diquinhasgirl;Bronze;Thales Rimoli;Nina Adler;Canal
553485627;Tem grupo;https://www.whatsapp.com/channel/0029Vb7MI9130LKU1XnXZ80x;120363423739408021@newsletter;Glow Up Masculino 💥;Content | TE & HE;nasa5361421;Bronze;Thales Rimoli;Alexandre Garcia;Canal
609644801;Tem grupo;https://chat.whatsapp.com/EsRQwMuKWgq09An8gWyenZ;120363425636544111@g.us;PROMOÇÕES DO DIA #22 ✨;Content | Cross;ofertasperdidinhas;Bronze;Thales Rimoli;Nina Adler;Grupo
619686179;Tem grupo;https://chat.whatsapp.com/IT6HDR0ZbVJ6GDQBibNlw5;120363404546811043@g.us;Cupons e Promoções Oficina do Teste ✅;Content | Other;MNW Educação e Tecnologia LTDA MNW Educação e Tecnologia LTDA;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
643684687;Tem grupo;https://chat.whatsapp.com/FYkz2q6mEonA9PTxtynSFk;5519995744519-1566639968@g.us;💥1️⃣ BIGPROMO 💱;Content | Cross;bigpromos;Bronze;Thales Rimoli;Nina Adler;Grupo
651524151;Tem grupo;https://chat.whatsapp.com/IN9ryaFxvclGarqRX2O1sA;120363408115856353@g.us;CASAMENTO NA PROMO #42;Content | Cross;naathmi2019;Bronze;Thales Rimoli;Nina Adler;Grupo
659377853;Tem grupo;https://chat.whatsapp.com/LtVi2TdNFB05Tx1hK6iXMh;120363404950890683@g.us;Odeio Pagar Caro 21;Content | C&I + F&H;achadinhosdaflavia;Silver;Lucas Vesterman;Rodrigo Nogi;Grupo
660834219;Tem grupo;https://chat.whatsapp.com/GgByzxRkMhGCjrrsnCVkG7;120363406077155516@g.us;🛍️🛒 SulStore Achadinhos #4;Content | Cross;se20241031082024;Bronze;Thales Rimoli;Nina Adler;Grupo
669879050;Tem grupo;https://chat.whatsapp.com/DeU4WsgR0ejA1kpWDcm38Y;120363192577257896@g.us;🔥 Ofertas Shopee + Mercado Livre;Content | Cross;Vinicius;Bronze;Thales Rimoli;Nina Adler;Grupo
673851790;Tem grupo;https://chat.whatsapp.com/HKSRI59R4M70RcRR4e4Rsq;120363328795243544@g.us;PROMO 126🧜🏼‍♀️💘🛍️;Content | Cross;paymentsclub;Bronze;Thales Rimoli;Nina Adler;Grupo
757367286;Tem grupo;https://chat.whatsapp.com/BDa3E4Tu0UHFIejC7qPtig;120363266907209595@g.us;PROMO DA LARI | 34 🛍️✨;Content | Cross;larissamarques;Bronze;Thales Rimoli;Nina Adler;Grupo
1045329161;Tem grupo;https://chat.whatsapp.com/HjDUX15mdheERY1YBcNS7t;120363377717402969@g.us;PROMOS DO DIA #14;Content | C&I + F&H;promodafeh;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
1051711586;Tem grupo;https://chat.whatsapp.com/EpVQngxFANvCUpo2BxIV2R;120363144195697420@g.us;PROMOS 🛍️ @mildicasdamay;Content | Cross;mildicasdamay;Bronze;Thales Rimoli;Nina Adler;Grupo
1114585317;Tem grupo;https://www.whatsapp.com/channel/0029VbBJP9aDzgTBmNHBd62p;120363421932149025@newsletter;Bench Promos - Cupons e Promoções;Content | Cross;bench promos;Gold;Thales Rimoli;Carli Vasconcelos;Canal
1131148365;Tem grupo;https://chat.whatsapp.com/Ht02cqI5AesIMNWMiZz0oR;553191813564-1634173628@g.us;Promoções 12 💖;Content | Cross;marianaaraujopedroni;Bronze;Thales Rimoli;Nina Adler;Grupo
1167640603;Tem grupo;https://chat.whatsapp.com/HSvq7CwCckBC3dmH3BZyNU;120363423614701784@g.us;PROMOS DA GI 🏠 #15;Content | Cross;kulakgislaine20220805120526;Bronze;Thales Rimoli;Nina Adler;Grupo
1212259006;Tem grupo;https://chat.whatsapp.com/LjEObbfiOqsHPfUY02iKCp;120363399367182198@g.us;Samara | Promos Enxoval #16  🏠✨;Content | C&I + F&H;enxovaldecasanovaa;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
1228150632;Tem grupo;https://chat.whatsapp.com/HLMGZS4t8Al65DGfwDGHUw;120363404317439868@g.us;PROMOS DAS IRMÃS 33 ✨;Content | Cross;kristinastefany20221030073655;Bronze;Thales Rimoli;Nina Adler;Grupo
1231254149;Tem grupo;https://chat.whatsapp.com/FM5hHHAWUoq0Bcwb7pu1r0;120363405351615126@g.us;TênisLinks 104 🔗;Content | Lifestyle;tenislinks;Silver;Caroline Marion;Renan Oshita;Grupo
1282155962;Tem grupo;https://chat.whatsapp.com/DmxglF40thWBUnTSAxgq9m;5519983242609-1623983977@g.us;A Divulgadora - 07;Content | Cross;adivulgadora;Bronze;Thales Rimoli;Nina Adler;Grupo
1336224488;Tem grupo;https://chat.whatsapp.com/GqfDG6hsQxmCdjvQsR8FJu;120363406058713550@g.us;Achados360 #6;Content | Cross;recomenda360;Bronze;Thales Rimoli;Nina Adler;Grupo
