aff_if,class_atual,tipo_link,link,id,name
133467538,Silver,Grupo,https://chat.whatsapp.com/G5wLkzZkT9s8CquuMAk0Wh,120363421097389277@g.us,🧡Dica da Mai🧡 Bugs | cupons e ofertas #20
133467538,Silver,Grupo,https://chat.whatsapp.com/IP5BlcjHgySDHBLnCch8UM,120363423517800053@g.us,🧡Dica da Mai🧡 Bugs | cupons e ofertas #22
133993243,Silver,Grupo,https://chat.whatsapp.com/G6nAd5iRya39p0aW79o0iK,LINK QUEBRADO,LINK QUEBRADO
134739278,Silver,Grupo,https://chat.whatsapp.com/CYvzoimZmm8E3j0hM2egoW,120363422789032957@g.us,#31 CMdias(envio de promo e cupons)
138261262,Silver,Canal,https://www.whatsapp.com/channel/0029VaCTnqqC6ZvoL9Zt6n3L,120363176014092785@newsletter,PROMO TUDO 
138261262,Silver,Canal,https://www.whatsapp.com/channel/0029Vb6knTI7z4kgXAHrcE0B,120363423929239937@newsletter,TECNAN OFERTAS 2
138261262,Silver,Canal,https://www.whatsapp.com/channel/0029VbAbvZtK0IBeMfadUW0D,120363417970368404@newsletter,TECNAN OFERTAS - SÓ HARDWARE
141137057,Gold,Grupo,https://chat.whatsapp.com/JuniiVMAE5CJ4Bvx06qrVe,120363420363659006@g.us,💋@Promodegarota 62 - Promoções e Cupons💖
144342229,Bronze,Grupo,https://chat.whatsapp.com/J2gHoyWP2y98QdTX0W7U70,120363313309522108@g.us,PROMOÇÕES JESSICA NEVILE
145151245,Bronze,Canal,https://whatsapp.com/channel/0029VaniZFRB4hdLFaXPEs12,120363330612462598@newsletter,compre TUDO com desconto 🤑
145151245,Bronze,Canal,https://whatsapp.com/channel/0029VbC94dNJUM2WHxnpcb1L,120363422873865883@newsletter,compre LIVROS com desconto
147294155,Bronze,Grupo,https://chat.whatsapp.com/GlZbsfe4H0q7GdhETjruhL,120363147672890533@g.us,IMPORTAÇÃO MINHA VIDA ( LEANDRO CONSTANTINO )
149518102,Silver,Grupo,https://chat.whatsapp.com/DPSge6JrWbRBHGU13akE6T,120363403350942477@g.us,Bizu das Promoções 70
151927388,Bronze,Grupo,https://chat.whatsapp.com/F8Iuf8PvkJIK2Xz8IjEzfo,120363401354807474@g.us,🎲🎲 Oferta Boardgames 2 📢 / @gameboxtabuleiro
151927388,Bronze,Grupo,https://chat.whatsapp.com/LvyUihHaELRIBZDwmKRfIw,120363155927437849@g.us,🎲 Oferta Boardgames 📢 / @gameboxtabuleiro
152436288,Silver,Grupo,https://chat.whatsapp.com/BfBkmyemsuGBkik1z0Syk7,120363421218198118@g.us,Guga Aprova ✅ DESCONTOS - 25
152450825,Bronze,Grupo,https://chat.whatsapp.com/EcTQztvLD2kJJZXu3mhVkY,120363422577093393@g.us,ACHADINHOS COM PROPÓSITO KIDS🧸
152450825,Bronze,Grupo,https://chat.whatsapp.com/HWv69Z03AznLs4EFjBM69S,120363402346135780@g.us,Ofertas Mercado Livre “Cleib Filho”
152450825,Bronze,Grupo,https://chat.whatsapp.com/LPqCNLcBdcG72dBlp2ykQY,120363419560104754@g.us,ACHADOS COM PROPÓSITO
154221658,Silver,Grupo,https://chat.whatsapp.com/FAj3NgKn5D9JX9S6yXTFzm,120363420939068453@g.us,🛍🌸 A promo da Luh - G26
155205923,Bronze,Grupo,https://chat.whatsapp.com/Fqs3irXV9Lj57sk4MKNfBd,5511948193508-1626804727@g.us,💄 SYA - PROMOS (1)
155205923,Bronze,Grupo,https://chat.whatsapp.com/GdY4N7aqCv13r3uZ6qdx2L,120363161380643387@g.us,PROMOS - HOME SYA🏠✨
155523724,Gold,Grupo,https://chat.whatsapp.com/LmSpg1uExmV4ySZd21OnWB,120363400036889703@g.us,Encontrei na web promoções #46
157729823,Bronze,Canal,https://whatsapp.com/channel/0029VaYSR7LJ93wb5eyDRq0j,120363275254873072@newsletter,Lokão das Promos
161561413,Bronze,Grupo,https://chat.whatsapp.com/G8utQ3OiM2KFHpattVAwBZ,120363397403477020@g.us,MILPROMOS SHOPEE 🛍️CASA 🏠 MODA 👚 MERCADO 🛒
161561413,Bronze,Grupo,https://chat.whatsapp.com/H4QRkkslVllBt84K0YiGQs,120363039094693439@g.us,MIL PROMOS-10
161561413,Bronze,Grupo,https://chat.whatsapp.com/Ll8yfW9FVCiLEkoCCVogem,120363419067269650@g.us,Achados de Lara #22
161561413,Bronze,Grupo,https://chat.whatsapp.com/LMoMeq9XOtsK1fYNh88QcJ,120363040612870851@g.us,MILPROMOS - 5
161660180,Bronze,Grupo,https://chat.whatsapp.com/EJGV6vSfWXsB4JCDo5RfB6,120363424087203166@g.us,@oqcomprei Perfumes | 04
161660180,Bronze,Grupo,https://chat.whatsapp.com/JIhNLKlvwJQLTGKUjPi5BP,120363300747389979@g.us,🛍️ Promoções e Descontos | 03
163733884,Bronze,Grupo,https://chat.whatsapp.com/CxuUhB4Rw2KC7MWHnm8cBo,120363412367655025@g.us,PROMOÇÕES DO DIA 🧡 (4)
165269796,Silver,Canal,https://whatsapp.com/channel/0029Vb6KTOB0LKZN2ee2co0y,120363419823909881@newsletter,Ofertas do Felipin 🛒🎟️
167650333,Bronze,Canal,https://whatsapp.com/channel/0029VbB2qh4KwqSSQ7RSEf0Z,120363419068828675@newsletter,Cupons - Ofertas - Achadinhos - Canal Alishow Variedades
168939981,Bronze,Grupo,https://chat.whatsapp.com/D6Ju7U58xCB0dJFgoBxWMF ,LINK QUEBRADO,LINK QUEBRADO
168939981,Bronze,Grupo,https://chat.whatsapp.com/DM21OZssHhND9KTmBeJo96,5511986600989-1632580013@g.us,Promos & descontinhos 4️⃣
168939981,Bronze,Grupo,https://chat.whatsapp.com/EgGLlQuLsG97OdRl3EwdKp,5511986600989-1624125387@g.us,Promos & descontinhos 2️⃣
168939981,Bronze,Grupo,https://chat.whatsapp.com/EoqCQWPYZYz1iQW8hUIX2m,120363022441516299@g.us,Promos&descontinhos CHAT
168939981,Bronze,Grupo,https://chat.whatsapp.com/FTGYkkTB8GY2TCdV8pOaGE,5511986600989-1628521320@g.us,Promos & descontinhos 3️⃣
168939981,Bronze,Grupo,https://chat.whatsapp.com/J8J4gZmdJ5I9WXqnzq4RU9,120363023083125990@g.us,Promos & descontinhos 5️⃣
172632957,Bronze,Grupo,https://chat.whatsapp.com/F7VlUADlkKwGwp3GBWM9b1,LINK QUEBRADO,LINK QUEBRADO
172632957,Bronze,Grupo,https://chat.whatsapp.com/L49iHXodLBg8HfnluzFvvv,120363044326404920@g.us,PROMOLINK OFERTAS 7
172678449,Bronze,Grupo,https://chat.whatsapp.com/CipST1WEa0QHV7EVQz3dQu,120363420190145308@g.us,Achei pra tu 🛒 2
172678449,Bronze,Grupo,https://chat.whatsapp.com/EavEYGowNOtIALskZvUlSN,120363423079967764@g.us,Achei pra tu 🛒 1
172678449,Bronze,Grupo,https://chat.whatsapp.com/FmFnv9Wou2qKptRvaCNMve,120363423437469576@g.us,Achei pra tu 🛒 4
172678449,Bronze,Grupo,https://chat.whatsapp.com/L19cuccbidP20CNoYJQuCF,120363422522665134@g.us,Achei pra tu 🛒 3
173454411,Silver,Grupo,https://chat.whatsapp.com/CiyFk5mh0R1EIfnDF5hqEy,120363391141524243@g.us,PECHINCHANDO LOOKS 👚👗
173454411,Silver,Grupo,https://chat.whatsapp.com/DE7EtyZ9iQ3LyP9xeGMZZj,120363342687995150@g.us,PECHINCHANDO BABY 👶🏻🤱🏻
173454411,Silver,Grupo,https://chat.whatsapp.com/G8Acu2TcUlw4LFGaTbmByY,120363040007691676@g.us,TOPECHINCHANDO (08) 🛍️
173454411,Silver,Grupo,https://chat.whatsapp.com/I7A429SJDEZLbYHjyYUjrD,120363343110719084@g.us,PECHINCHANDO FITNESS 🏋🏻‍♀️
173454411,Silver,Grupo,https://chat.whatsapp.com/IJ3bzlsBmQB0ILR4C8LLN2,120363421559604582@g.us,PECHINCHANDO MERCADO 🛒
173454411,Silver,Grupo,https://chat.whatsapp.com/ILDFyZcupT48Lyn7BD2ugx,120363358519003279@g.us,PECHINCHANDO HOMEM 🍷
173454411,Silver,Grupo,https://chat.whatsapp.com/JvruewYqqXqKDzWZSSRvCL,120363399260434354@g.us,PECHINCHANDO SHOPEE 🧡
173454411,Silver,Grupo,https://chat.whatsapp.com/LaWPZhTnbn81EXdneJVnvV,120363026855826241@g.us,TOPECHINCHANDO (15) 🛍️
177778397,Bronze,Grupo,https://chat.whatsapp.com/LtYzU2gOTkfE58WqRwwatH,120363374241614435@g.us,ACHADINHOS DA ODONTO #2
178031903,Bronze,Grupo,https://chat.whatsapp.com/B4hneW5f4188GBsNQzY4AS,120363321328518946@g.us,#01 Achadinhos da Manicure Grupo #01
178031903,Bronze,Grupo,https://chat.whatsapp.com/CyeTMTkOzu283yCgttHFth,120363347715678765@g.us,#03 Achadinhos da manicure Grupo #03
178031903,Bronze,Grupo,https://chat.whatsapp.com/EGvN66Iis7752TTCbTpNi3,120363359998935346@g.us,#04 Achadinhos da Manicure Grupo #04
178031903,Bronze,Grupo,https://chat.whatsapp.com/EKiulSWKrKDI0FQAg6pjLV,120363355554861054@g.us,#05 Achadinhos da Manicure Grupo #05
178031903,Bronze,Grupo,https://chat.whatsapp.com/KKEGuduBHtXGawPQyGkiGh,120363388868824602@g.us,#06 Achadinhos da Manicure Grupo #06
178031903,Bronze,Grupo,https://chat.whatsapp.com/KYK0pkV133P5dW86j2YoUu,120363401860539430@g.us,#07 Achadinhos da Manicure Grupo #07
178031903,Bronze,Grupo,https://chat.whatsapp.com/Lqpc4YDrq5Y0wOCmeCkIFZ,120363337829323835@g.us,#02 Achadinhos da Manicure Grupo #02
178915286,Bronze,Grupo,https://chat.whatsapp.com/Gjn7jhEcEyq0FjxCJll5Mx,120363424143395187@g.us,PROMO DA ERIS
179805980,Bronze,Grupo,https://chat.whatsapp.com/EYlCCSV04iWCtmGvNO2TtA,120363419317721659@g.us,PROMOÇÕES DO DIA ✨ |  #02 @achadosdoguru
181507452,Gold,Canal,https://whatsapp.com/channel/0029Vb1VwZ06hENuJrdxmC37,120363402295166761@newsletter,BIZU PARA CASA 🏠 Promoções e Cupons   
182127937,Silver,Grupo,https://chat.whatsapp.com/JacwIV6CLom60nkpYBbMwp,120363406180610712@g.us,Tech Deals 🎯 [35]
183117136,Bronze,Grupo,https://chat.whatsapp.com/HpO4DH6vdcqFJfVWwxD8U7,120363040307279344@g.us,G&L Promoções 1 🛍️🛒
186353943,Bronze,Grupo,https://chat.whatsapp.com/BuTil6mJ6gN14y3cKgqg2F,120363327434276289@g.us,Ofertas da hora do almoço 9🛍️
186778702,Bronze,Grupo,https://chat.whatsapp.com/FhEZ35BVmBVDshfzNsB6X1,120363394409065009@g.us,5Promo Mamães econômicas
186825611,Bronze,Grupo,https://chat.whatsapp.com/DyQAQszBnTIEJsFUoLMpWk,5511968863733-1632252483@g.us,Garage Honda Civic
186825611,Bronze,Grupo,https://chat.whatsapp.com/EGgsMY4LY2cGxAEcrDeqPG,120363040627572176@g.us,Garage Honda City
186825611,Bronze,Grupo,https://chat.whatsapp.com/EihRyuST3waIqMU1Bhnjw3,120363053785375592@g.us,Garage Honda Fit
186825611,Bronze,Grupo,https://chat.whatsapp.com/Iy2El9RKJ378pKhkBUCsQk,120363297215597226@g.us,Garage Honda Civic II
186825611,Bronze,Grupo,https://chat.whatsapp.com/JbzoIvAQVSIKdzMHK1Xuyo,556692243055-1614900270@g.us,Garage Honda City 2
189307190,Silver,Grupo,https://chat.whatsapp.com/H8EWddEjTvA8nZqXAnTPxu,120363423849858487@g.us,🎟️#20 Cupons do Oda - Equipamentos de Foto e Vídeo
189407558,Bronze,Grupo,https://chat.whatsapp.com/KjmW2ZHK0ET3yR55mumHxo,120363029026112721@g.us,Promos por Jenni 🛍️¹⁰
190304867,Bronze,Grupo,https://chat.whatsapp.com/H7n2SPPkQ3B6I8bXUpFnjq,120363042443318293@g.us,#acheipravoce#3
190304867,Bronze,Grupo,https://chat.whatsapp.com/Hysc4gtiDeiF0xfuPo71W3,120363044311711760@g.us,Acheipravocê #5
190304867,Bronze,Grupo,https://chat.whatsapp.com/IiRsOuBEKu20Ad55TK6oQo,120363044276358097@g.us,Acheipravocê#2
190304867,Bronze,Grupo,https://chat.whatsapp.com/JDXtRXRIHihEC8nN7Xb8Hu,120363027827505503@g.us,Acheipravocê #6
190304867,Bronze,Grupo,https://chat.whatsapp.com/JHqG1WLlZQPLdw7Bwy3Lmk,120363031532375323@g.us,Achei Pra Você 🛍️ #1
190304867,Bronze,Grupo,https://chat.whatsapp.com/KDXvUQLEupGJEtzI434WcS,120363025483504290@g.us,Acheipravocê #4
190304867,Bronze,Grupo,https://chat.whatsapp.com/KRcKRnZeLLHH7kxI3nschS,120363040105927839@g.us,acheipravoce#1
