id,name
5519997134690-1536855235@g.us,Economizeiro 3
5519999241506-1510091197@g.us,Promo desconto cupons 10
5521972675859-1533073494@g.us,PromoON 00
5521976234600-1593517593@g.us,
5521979402668-1571782154@g.us,💥💥 TÁ BUGADO!!! 4⃣9⃣
5524981153741-1633047154@g.us,Promoções da Hora 11
5527997926363-1578518782@g.us,⚫ VICIADOS EM DESCONTOS 11 ⚫
553195230021-1567034447@g.us,BR Descontão  - 1
553197261133-1541127202@g.us,
553291008263-1614296085@g.us,🛍💥 TEM PROMÔ! 2️⃣3️⃣
553498331857-1575504332@g.us,Babypromokids 115 👶🏻 A23
554197440172-1542717489@g.us,💻Qual Notebook Comprar?16
554497558297-1607954318@g.us,@Promosdadaii 🛍️#4
555197590316-1569254347@g.us,⚜ SUPER PROMO ⚜ 5⃣
555496749400-1623017491@g.us,"Amiga, Compra! 10"
557592438834-1604916407@g.us,
558198148856-1625705090@g.us,
558199606955-1626546179@g.us,PROMOS DA LUH 065
558799796242-1626639123@g.us,ACHADO NA PROMO 3
